City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,kodiak,US,57.79,-152.4072,36.91,93,100,8.05,mist
1,kapaa,US,22.0752,-159.319,81.12,67,0,1.01,clear sky
2,butaritari,KI,3.0707,172.7902,81.79,78,100,16.22,light rain
3,nishihara,JP,26.1842,127.7558,69.08,88,75,21.85,broken clouds
4,buala,SB,-8.145,159.5921,80.04,84,100,10.2,light rain
5,hobart,AU,-42.8794,147.3294,60.66,75,40,17.27,light rain
6,sangar,RU,63.9242,127.4739,-33.93,99,24,2.24,few clouds
7,hurghada,EG,27.2574,33.8129,57.24,67,0,0.0,clear sky
8,ushuaia,AR,-54.8,-68.3,42.46,65,75,24.16,broken clouds
9,vuktyl,RU,63.8567,57.3094,14.88,97,99,5.26,overcast clouds
10,tasiilaq,GL,65.6145,-37.6368,14.16,80,95,5.39,overcast clouds
11,poum,NC,-20.2333,164.0167,80.15,73,0,0.45,clear sky
12,saint-philippe,RE,-21.3585,55.7679,80.19,95,100,34.02,heavy intensity rain
13,katsuura,JP,35.1333,140.3,47.19,47,100,5.73,overcast clouds
14,babu,CN,24.4167,111.5167,39.78,90,98,5.95,overcast clouds
15,santo antonio do ica,BR,-3.1022,-67.9397,73.81,97,100,2.64,overcast clouds
16,jamestown,US,42.097,-79.2353,40.32,65,100,5.01,overcast clouds
17,bredasdorp,ZA,-34.5322,20.0403,63.72,82,0,3.44,clear sky
18,hilo,US,19.7297,-155.09,80.33,71,75,10.36,broken clouds
19,great yarmouth,GB,52.6083,1.7305,48.31,94,100,10.07,overcast clouds
20,charagua,BO,-19.8,-63.2167,75.34,57,0,7.4,clear sky
21,mar del plata,AR,-38.0023,-57.5575,71.62,83,75,5.75,light rain
22,carutapera,BR,-1.195,-46.02,76.44,91,100,6.35,overcast clouds
23,bluff,NZ,-46.6,168.3333,58.8,65,100,17.09,overcast clouds
24,ponta do sol,PT,32.6667,-17.1,66.7,78,99,8.79,overcast clouds
25,bilma,NE,18.6853,12.9164,55.54,25,0,15.23,clear sky
26,atuona,PF,-9.8,-139.0333,78.24,77,100,14.65,light rain
27,esperance,AU,-33.8667,121.9,69.64,53,6,15.5,clear sky
28,anadyr,RU,64.75,177.4833,19.9,53,0,26.84,clear sky
29,provideniya,RU,64.3833,-173.3,10.51,72,75,31.32,broken clouds
30,norman wells,CA,65.282,-126.8329,-21.96,63,75,8.05,broken clouds
31,rikitea,PF,-23.1203,-134.9692,78.6,73,84,7.74,light rain
32,new norfolk,AU,-42.7826,147.0587,60.3,62,99,3.0,light rain
33,buenos aires,AR,-34.6132,-58.3772,82.96,61,0,6.91,clear sky
34,upington,ZA,-28.4478,21.2561,71.98,94,75,1.14,broken clouds
35,phalombe,MW,-15.8064,35.6507,66.02,88,96,0.85,overcast clouds
36,khandyga,RU,62.6667,135.6,-29.65,96,100,1.63,overcast clouds
37,havoysund,NO,70.9963,24.6622,20.28,86,94,9.6,overcast clouds
38,barrow,US,71.2906,-156.7887,-20.18,76,75,0.0,haze
39,cabo san lucas,MX,22.8909,-109.9124,72.7,67,75,13.8,broken clouds
40,grootfontein,NA,-19.5667,18.1167,66.99,39,3,11.18,clear sky
41,cotonou,BJ,6.3654,2.4183,80.58,83,70,9.22,dust
42,puerto ayora,EC,-0.7393,-90.3518,75.54,93,0,1.99,clear sky
43,faanui,PF,-16.4833,-151.75,81.21,75,14,20.09,few clouds
44,bardiyah,LY,31.7561,25.0865,52.36,70,83,16.33,broken clouds
45,mahon,ES,39.8885,4.2658,46.96,93,0,6.91,clear sky
46,dickinson,US,29.4608,-95.0513,70.2,94,100,1.01,mist
47,ankang,CN,32.68,109.0172,33.66,64,100,2.06,overcast clouds
48,san juan,AR,-31.5375,-68.5364,82.89,39,88,7.36,overcast clouds
49,san juan de uraba,CO,8.7592,-76.5297,77.65,86,5,7.05,clear sky
50,castro,BR,-24.7911,-50.0119,63.57,96,1,6.29,clear sky
51,punta arenas,CL,-53.15,-70.9167,48.31,71,75,3.44,broken clouds
52,tilichiki,RU,60.4667,166.1,4.32,81,72,10.2,broken clouds
53,torbay,CA,47.6666,-52.7314,22.57,89,20,16.11,few clouds
54,souillac,MU,-20.5167,57.5167,80.98,89,75,29.93,light intensity shower rain
55,sakakah,SA,29.9697,40.2064,49.57,44,100,7.92,overcast clouds
56,tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,12.66,light snow
57,cape town,ZA,-33.9258,18.4232,66.11,90,75,1.01,broken clouds
