City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Aykhal,RU,2022-01-31 23:57:16,66.0,111.5,-27.47,100,89,4.97
1,Atuona,PF,2022-01-31 23:57:25,-9.8,-139.0333,78.46,77,14,18.12
2,Bluff,NZ,2022-01-31 23:57:38,-46.6,168.3333,75.79,80,37,3.31
3,Busselton,AU,2022-01-31 23:57:39,-33.65,115.3333,64.04,53,1,17.31
4,Kruisfontein,ZA,2022-01-31 23:57:39,-34.0033,24.7314,70.88,98,99,4.63
5,Tuktoyaktuk,CA,2022-01-31 23:57:40,69.4541,-133.0374,-18.4,76,75,0.0
6,Rikitea,PF,2022-01-31 23:57:40,-23.1203,-134.9692,78.01,67,66,4.72
7,Tiksi,RU,2022-01-31 23:57:41,71.6872,128.8694,-10.71,100,100,6.58
8,Avarua,CK,2022-01-31 23:57:41,-21.2078,-159.775,71.65,100,100,9.22
9,Puerto Ayora,EC,2022-01-31 23:57:43,-0.7393,-90.3518,74.55,93,72,1.01
10,Jamestown,US,2022-01-31 23:57:44,42.097,-79.2353,20.34,92,41,3.22
11,Cape Town,ZA,2022-01-31 23:57:03,-33.9258,18.4232,74.12,80,0,2.3
12,Nakhon Nayok,TH,2022-01-31 23:57:44,14.1667,101.1,82.02,88,16,3.89
13,Vostok,RU,2022-01-31 23:57:44,46.4856,135.8833,-3.24,94,99,3.71
14,Qaanaaq,GL,2022-01-31 23:57:45,77.484,-69.3632,-21.96,53,0,11.34
15,Creel,MX,2022-01-31 23:57:45,27.75,-107.6333,49.89,35,1,9.48
16,Vaini,TO,2022-01-31 23:57:46,-21.2,-175.2,86.16,79,75,10.36
17,Doha,QA,2022-01-31 23:56:11,25.2867,51.5333,64.29,88,0,5.75
18,Yumen,CN,2022-01-31 23:57:47,40.2833,97.2,14.4,30,96,5.79
19,Upernavik,GL,2022-01-31 23:53:10,72.7868,-56.1549,-17.36,97,100,7.25
20,Portland,US,2022-01-31 23:53:30,45.5234,-122.6762,48.69,81,97,1.99
21,Punta Arenas,CL,2022-01-31 23:57:48,-53.15,-70.9167,46.51,81,40,24.16
22,Bubaque,GW,2022-01-31 23:57:48,11.2833,-15.8333,77.52,67,88,13.18
23,Nikolskoye,RU,2022-01-31 23:57:49,59.7035,30.7861,26.4,96,100,5.08
24,Hermanus,ZA,2022-01-31 23:57:49,-34.4187,19.2345,74.8,88,2,9.01
25,Lavrentiya,RU,2022-01-31 23:57:34,65.5833,-171.0,-1.46,84,38,11.07
26,Ushuaia,AR,2022-01-31 23:53:55,-54.8,-68.3,42.46,87,40,24.16
27,Georgetown,MY,2022-01-31 23:55:06,5.4112,100.3354,78.89,88,20,3.0
28,Nishihara,JP,2022-01-31 23:57:50,26.1842,127.7558,60.08,67,75,8.05
29,Vanavara,RU,2022-01-31 23:57:51,60.34,102.2797,-11.22,100,91,1.97
30,Arlit,NE,2022-01-31 23:57:52,18.7369,7.3853,54.16,21,0,3.98
31,Albany,US,2022-01-31 23:56:56,42.6001,-73.9662,20.55,65,15,1.9
32,Vao,NC,2022-01-31 23:57:52,-22.6667,167.4833,77.88,84,100,9.06
33,Bowen,AU,2022-01-31 23:57:53,-20.0167,148.2333,84.42,71,10,4.16
34,Dikson,RU,2022-01-31 23:57:53,73.5069,80.5464,-2.56,90,100,18.07
35,Demirci,TR,2022-01-31 23:57:54,39.0461,28.6589,28.18,86,57,4.79
36,Barbate,ES,2022-01-31 23:57:54,36.1924,-5.9219,53.71,57,0,4.63
37,Chuy,UY,2022-01-31 23:57:55,-33.6971,-53.4616,63.1,63,22,9.1
38,Taoudenni,ML,2022-01-31 23:54:44,22.6783,-3.9836,67.66,8,68,12.66
39,Veraval,IN,2022-01-31 23:54:16,20.9,70.3667,68.68,82,0,11.05
40,Zdvinsk,RU,2022-01-31 23:57:56,54.7021,78.661,10.17,96,94,9.82
41,Morondava,MG,2022-01-31 23:57:56,-20.2833,44.2833,78.12,79,2,4.12
42,Hobart,AU,2022-01-31 23:57:58,-42.8794,147.3294,83.05,52,40,5.01
43,Hasaki,JP,2022-01-31 23:57:58,35.7333,140.8333,39.29,40,44,4.47
44,Halifax,CA,2022-01-31 23:54:00,44.6453,-63.5724,23.05,74,68,3.44
45,Castro,BR,2022-01-31 23:58:59,-24.7911,-50.0119,63.16,92,13,3.71
46,Qaqortoq,GL,2022-01-31 23:58:59,60.7167,-46.0333,20.93,76,97,19.42
47,Zeya,RU,2022-01-31 23:59:00,53.75,127.2667,-7.31,86,12,4.21
48,Esperance,AU,2022-01-31 23:59:00,-33.8667,121.9,64.24,57,87,16.89
49,Victoria,HK,2022-01-31 23:54:05,22.2855,114.1577,58.95,92,95,1.99
50,Talnakh,RU,2022-01-31 23:59:01,69.4865,88.3972,6.21,96,100,9.06
51,Saldanha,ZA,2022-01-31 23:54:57,-33.0117,17.9442,66.25,77,16,6.76
52,Guanica,PR,2022-01-31 23:59:02,17.9716,-66.908,79.92,77,34,1.01
53,Preobrazheniye,RU,2022-01-31 23:59:02,42.9019,133.9064,15.24,53,0,6.76
54,Coos Bay,US,2022-01-31 23:59:02,43.3665,-124.2179,48.92,94,88,6.93
55,Porosozero,RU,2022-01-31 23:59:03,62.7191,32.727,12.87,95,100,6.93
56,Vestmanna,FO,2022-01-31 23:58:30,62.1564,-7.1664,45.52,81,100,32.21
57,Ambovombe,MG,2022-01-31 23:59:04,-25.1667,46.0833,70.86,84,49,10.69
58,Bredasdorp,ZA,2022-01-31 23:59:04,-34.5322,20.0403,74.28,88,23,4.61
59,Barcelona,ES,2022-01-31 23:55:04,41.3888,2.159,54.72,86,17,6.91
60,Tocopilla,CL,2022-01-31 23:59:05,-22.092,-70.1979,67.51,68,6,3.15
61,Ravenna,IT,2022-01-31 23:59:05,44.4167,11.9833,48.22,90,34,3.0
62,The Valley,AI,2022-01-31 23:59:06,18.217,-63.0578,78.94,73,20,8.05
63,Cherskiy,RU,2022-01-31 23:59:06,68.75,161.3,-10.61,91,100,3.62
64,Lampazos De Naranjo,MX,2022-01-31 23:59:07,27.0167,-100.5167,73.71,24,0,4.07
65,Klaksvik,FO,2022-01-31 23:59:07,62.2266,-6.589,47.32,82,100,36.84
66,Igarka,RU,2022-01-31 23:58:57,67.4667,86.5833,3.22,95,100,15.03
67,Port Elizabeth,ZA,2022-01-31 23:58:45,-33.918,25.5701,73.69,94,100,9.22
68,Butaritari,KI,2022-01-31 23:54:56,3.0707,172.7902,81.45,79,78,13.31
69,Kapaa,US,2022-01-31 23:59:08,22.0752,-159.319,76.12,59,100,1.01
70,Vardo,NO,2022-01-31 23:59:09,70.3705,31.1107,22.51,80,56,8.79
71,Henties Bay,NA,2022-01-31 23:59:09,-22.116,14.2845,69.85,78,100,7.07
72,Mahebourg,MU,2022-01-31 23:54:53,-20.4081,57.7,79.25,78,75,14.97
73,Moose Factory,CA,2022-01-31 23:59:10,51.2585,-80.6094,-2.2,60,75,9.22
74,Kloulklubed,PW,2022-01-31 23:59:10,7.0419,134.2556,82.98,73,100,18.37
75,Lima,PE,2022-01-31 23:55:13,-12.0432,-77.0282,74.89,69,0,10.36
76,Nkhotakota,MW,2022-01-31 23:59:11,-12.9274,34.2961,72.5,83,39,4.94
77,Mataura,NZ,2022-01-31 23:56:10,-46.1927,168.8643,75.47,50,65,1.88
78,Praia,CV,2022-01-31 23:54:41,14.9215,-23.5087,70.34,88,0,13.8
79,Mar Del Plata,AR,2022-01-31 23:59:10,-38.0023,-57.5575,64.42,58,0,5.75
80,Puerto Del Rosario,ES,2022-01-31 23:59:12,28.5004,-13.8627,69.48,63,100,6.91
81,Kapit,MY,2022-01-31 23:59:13,2.0167,112.9333,73.56,98,100,2.15
82,Koungou,YT,2022-01-31 23:57:02,-12.7336,45.2042,82.11,83,0,8.05
83,Waycross,US,2022-01-31 23:59:14,31.2136,-82.354,55.87,54,0,0.0
84,Tezu,IN,2022-01-31 23:59:15,27.9167,96.1667,54.37,85,100,1.97
85,Ixtapa,MX,2022-01-31 23:54:27,20.7,-105.2,76.23,80,0,5.99
86,Hovd,MN,2022-01-31 23:59:17,48.0056,91.6419,-13.47,80,31,1.43
87,Yulara,AU,2022-01-31 23:59:17,-25.2406,130.9889,69.64,100,100,17.27
88,Ancud,CL,2022-01-31 23:59:18,-41.8697,-73.8203,60.42,75,11,8.12
89,Kavaratti,IN,2022-01-31 23:55:03,10.5669,72.642,80.46,72,2,10.54
90,Souillac,MU,2022-01-31 23:57:00,-20.5167,57.5167,79.36,78,75,14.97
91,Gaya,IN,2022-02-01 00:00:20,24.7833,85.0,52.47,73,15,3.51
92,Pucara,PE,2022-02-01 00:00:20,-15.9803,-71.4606,36.23,82,97,10.11
93,Ilulissat,GL,2022-01-31 23:56:37,69.2167,-51.1,-1.35,98,100,4.59
94,Thompson,CA,2022-01-31 23:57:57,55.7435,-97.8558,1.56,78,100,6.91
95,Altay,CN,2022-02-01 00:00:22,47.8667,88.1167,7.57,64,89,4.85
96,Pangody,RU,2022-02-01 00:00:24,65.85,74.4859,-14.51,100,99,6.02
97,Ostrovnoy,RU,2022-02-01 00:00:26,68.0531,39.5131,11.07,96,100,5.3
98,Arraial Do Cabo,BR,2022-02-01 00:00:26,-22.9661,-42.0278,76.91,87,100,7.58
99,Luderitz,NA,2022-02-01 00:00:28,-26.6481,15.1594,65.66,87,9,5.5
100,Thinadhoo,MV,2022-02-01 00:00:29,0.5333,72.9333,82.56,69,19,11.05
101,Sao Filipe,CV,2022-02-01 00:00:30,14.8961,-24.4956,75.04,69,100,5.35
102,Valle Hermoso,MX,2022-02-01 00:00:31,25.6667,-97.8333,77.04,74,45,12.03
103,Barrow,US,2022-02-01 00:00:31,71.2906,-156.7887,-14.78,76,0,8.05
104,Gao,ML,2022-02-01 00:00:32,16.6362,1.637,63.37,9,34,13.22
105,Torrevieja,ES,2022-01-31 23:58:42,37.9787,-0.6822,61.09,64,1,1.99
106,Hofn,IS,2022-02-01 00:00:33,64.2539,-15.2082,30.36,86,97,8.63
107,Anadyr,RU,2022-01-31 23:57:55,64.75,177.4833,18.1,45,0,8.95
108,Hithadhoo,MV,2022-02-01 00:00:33,-0.6,73.0833,82.11,75,26,11.68
109,Pisco,PE,2022-02-01 00:00:34,-13.7,-76.2167,72.01,83,41,6.17
110,Broome,US,2022-02-01 00:00:34,42.2506,-75.833,19.0,72,11,1.01
111,Leningradskiy,RU,2022-02-01 00:00:35,69.3833,178.4167,-17.01,94,67,9.53
112,Kodiak,US,2022-01-31 23:59:45,57.79,-152.4072,32.04,82,88,5.01
113,Igurusi,TZ,2022-02-01 00:00:36,-8.85,33.85,63.07,97,100,1.12
114,Hamilton,US,2022-02-01 00:00:36,39.1834,-84.5333,35.2,66,73,3.13
115,Cicero Dantas,BR,2022-02-01 00:00:37,-10.6,-38.3833,74.05,71,5,9.91
116,Aswan,EG,2022-02-01 00:00:37,24.0934,32.907,52.07,54,0,7.99
117,Mariental,NA,2022-02-01 00:00:38,-24.6333,17.9667,73.51,72,89,11.52
118,Bac Lieu,VN,2022-01-31 23:56:53,9.285,105.7244,77.83,83,13,13.65
119,Berlevag,NO,2022-02-01 00:00:38,70.8578,29.0864,22.1,75,70,8.21
