City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-01-31 18:55:37,32.6667,-17.1,67.12,47,35,12.73
1,Bredasdorp,ZA,2022-01-31 18:55:38,-34.5322,20.0403,75.27,88,98,12.66
2,Cheyenne,US,2022-01-31 18:55:18,41.14,-104.8203,50.99,13,0,31.07
3,Gimli,CA,2022-01-31 18:55:38,50.6336,-96.9907,16.12,79,100,13.8
4,Atuona,PF,2022-01-31 18:55:39,-9.8,-139.0333,78.31,76,7,18.81
5,Jamestown,US,2022-01-31 18:51:39,42.097,-79.2353,32.29,32,0,4.61
6,New Norfolk,AU,2022-01-31 18:55:40,-42.7826,147.0587,68.76,74,5,2.21
7,Maldonado,UY,2022-01-31 18:55:40,-34.6667,-54.9167,72.79,49,5,14.61
8,Ushuaia,AR,2022-01-31 18:55:41,-54.8,-68.3,53.22,71,75,32.21
9,Busselton,AU,2022-01-31 18:55:41,-33.65,115.3333,60.04,62,79,14.54
10,Puerto Ayora,EC,2022-01-31 18:55:41,-0.7393,-90.3518,80.56,88,60,5.01
11,Saskylakh,RU,2022-01-31 18:55:42,71.9167,114.0833,-27.9,100,91,2.08
12,Cape Town,ZA,2022-01-31 18:55:43,-33.9258,18.4232,78.12,76,0,1.99
13,Rikitea,PF,2022-01-31 18:55:43,-23.1203,-134.9692,77.27,65,100,4.34
14,Mataura,NZ,2022-01-31 18:55:44,-46.1927,168.8643,57.47,91,29,1.48
15,Cuamba,MZ,2022-01-31 18:55:44,-14.8031,36.5372,70.14,91,10,1.79
16,Uvinza,TZ,2022-01-31 18:55:45,-5.1036,30.3911,66.47,99,100,2.33
17,Laguna,US,2022-01-31 18:55:45,38.421,-121.4238,63.01,66,0,1.99
18,Lakes Entrance,AU,2022-01-31 18:55:45,-37.8811,147.981,66.58,87,0,4.41
19,Kapaa,US,2022-01-31 18:55:46,22.0752,-159.319,69.12,59,100,3.65
20,Mahanje,TZ,2022-01-31 18:55:47,-9.9333,35.3333,65.12,96,89,1.3
21,Saint-Philippe,RE,2022-01-31 18:55:47,-21.3585,55.7679,80.19,79,89,14.72
22,Krasnovishersk,RU,2022-01-31 18:55:47,60.4078,57.082,-5.93,100,81,2.68
23,Thompson,CA,2022-01-31 18:53:54,55.7435,-97.8558,-0.24,85,100,6.91
24,Caravelas,BR,2022-01-31 18:55:48,-17.7125,-39.2481,84.97,67,4,12.12
25,Rexburg,US,2022-01-31 18:55:48,43.826,-111.7897,29.46,63,75,3.44
26,Ayabaca,PE,2022-01-31 18:55:49,-4.6398,-79.7149,56.53,73,100,7.38
27,Saint-Georges,GD,2022-01-31 18:55:49,12.0564,-61.7485,83.88,74,20,20.71
28,Hermanus,ZA,2022-01-31 18:55:50,-34.4187,19.2345,75.79,76,43,15.26
29,Albany,US,2022-01-31 18:52:51,42.6001,-73.9662,31.57,40,13,1.01
30,Stornoway,GB,2022-01-31 18:55:51,58.2093,-6.3865,42.93,93,75,5.99
31,Vaini,TO,2022-01-31 18:55:51,-21.2,-175.2,79.68,75,100,14.03
32,Tagusao,PH,2022-01-31 18:55:52,9.1924,117.8141,77.99,85,6,4.81
33,Cabo San Lucas,MX,2022-01-31 18:55:52,22.8909,-109.9124,80.19,59,3,4.0
34,Dikson,RU,2022-01-31 18:55:52,73.5069,80.5464,-5.82,93,100,18.3
35,Alyangula,AU,2022-01-31 18:55:53,-13.8483,136.4192,82.27,83,100,14.97
36,Portland,US,2022-01-31 18:55:49,45.5234,-122.6762,45.55,87,100,1.01
37,Sechelt,CA,2022-01-31 18:55:54,49.4664,-123.7694,45.07,74,13,7.74
38,Broken Hill,AU,2022-01-31 18:55:54,-31.95,141.4333,74.91,73,40,9.22
39,Mabaruma,GY,2022-01-31 18:55:55,8.2,-59.7833,84.22,62,98,7.09
40,Kizukuri,JP,2022-01-31 18:55:55,40.8061,140.3861,22.95,76,99,2.55
41,Monte Patria,CL,2022-01-31 18:55:56,-30.6919,-70.9467,81.1,39,1,11.45
42,Kruisfontein,ZA,2022-01-31 18:56:56,-34.0033,24.7314,75.88,90,100,4.72
43,Pochutla,MX,2022-01-31 18:56:57,15.7432,-96.4661,85.82,45,0,10.65
44,Xuddur,SO,2022-01-31 18:56:57,4.1213,43.8894,79.48,34,26,10.4
45,Khatanga,RU,2022-01-31 18:56:58,71.9667,102.5,-26.19,100,88,2.89
46,Avarua,CK,2022-01-31 18:56:58,-21.2078,-159.775,78.85,83,75,9.22
47,Chaihe,CN,2022-01-31 18:56:59,44.7667,129.7,-13.61,100,47,1.92
48,Nabire,ID,2022-01-31 18:55:05,-3.3667,135.4833,74.07,89,100,1.86
49,Port Alfred,ZA,2022-01-31 18:56:59,-33.5906,26.891,75.87,91,100,9.82
50,Sabha,LY,2022-01-31 18:57:00,27.0377,14.4283,50.76,44,0,4.41
51,Ho Chi Minh City,VN,2022-01-31 18:53:39,10.75,106.6667,78.82,78,40,6.91
52,Cidreira,BR,2022-01-31 18:57:00,-30.1811,-50.2056,77.36,72,49,8.86
53,Mount Gambier,AU,2022-01-31 18:57:01,-37.8333,140.7667,60.71,88,100,9.22
54,Mahebourg,MU,2022-01-31 18:55:07,-20.4081,57.7,80.89,78,75,17.27
55,Maceio,BR,2022-01-31 18:57:01,-9.6658,-35.7353,89.04,62,40,11.5
56,Upernavik,GL,2022-01-31 18:57:02,72.7868,-56.1549,-20.92,98,69,2.46
57,Tuktoyaktuk,CA,2022-01-31 18:57:02,69.4541,-133.0374,-11.2,77,75,4.61
58,Nanortalik,GL,2022-01-31 18:57:03,60.1432,-45.2371,26.08,93,100,13.4
59,Floro,NO,2022-01-31 18:57:03,61.5996,5.0328,30.96,86,75,3.44
60,Damghan,IR,2022-01-31 18:57:04,36.1683,54.348,39.49,34,100,2.91
61,Hobart,AU,2022-01-31 18:56:24,-42.8794,147.3294,69.12,88,4,1.01
62,Punta Arenas,CL,2022-01-31 18:56:12,-53.15,-70.9167,51.82,76,75,39.12
63,Dandong,CN,2022-01-31 18:56:53,40.1292,124.3947,23.83,95,100,5.64
64,Buraydah,SA,2022-01-31 18:57:05,26.326,43.975,72.05,24,42,19.57
65,Ballina,AU,2022-01-31 18:57:06,-28.8667,153.5667,72.79,94,75,1.14
66,Tiksi,RU,2022-01-31 18:57:06,71.6872,128.8694,-11.29,99,100,6.51
67,Qaanaaq,GL,2022-01-31 18:57:06,77.484,-69.3632,-19.71,45,0,7.25
68,Prince George,CA,2022-01-31 18:54:30,53.9166,-122.753,18.28,74,20,0.0
69,Nikolskoye,RU,2022-01-31 18:57:07,59.7035,30.7861,28.87,97,100,5.23
70,Sorland,NO,2022-01-31 18:57:08,67.667,12.6934,33.87,59,100,11.34
71,Tongzi,CN,2022-01-31 18:57:08,28.7829,105.0877,43.86,80,63,1.74
72,Kyrylivka,UA,2022-01-31 18:57:09,46.3759,35.3675,38.34,79,100,18.72
73,Nuristan,AF,2022-01-31 18:57:09,35.3,70.8333,2.97,75,5,12.33
74,Lazaro Cardenas,MX,2022-01-31 18:57:10,17.9583,-102.2,81.81,55,0,8.93
75,Aldan,RU,2022-01-31 18:57:10,58.6031,125.3894,-11.69,100,100,2.01
76,Kortkeros,RU,2022-01-31 18:57:11,61.8106,51.5806,3.2,98,47,3.56
77,Cherskiy,RU,2022-01-31 18:57:11,68.75,161.3,-25.08,98,100,2.55
